id,url,title,content_type,duration_seconds,views,likes,like_rate_pct,date_text,is_tcs
zmEEebCg5tM,https://www.youtube.com/watch?v=zmEEebCg5tM,Mining Cabs Are Trapping TOXIC DUST! How BreatheSafe Stops The Hazard,highlight,178,4,0,0.0,Premiered 89 minutes ago,False
I5yHkEzw4hc,https://www.youtube.com/watch?v=I5yHkEzw4hc,BreatheSafe: Intelligent 4-Tier Air Filtration & Telemetry for Heavy Mining Operator Cabs #387,episode,870,14,1,7.1429,Premiered 7 hours ago,False
O8TTsjIckWE,https://www.youtube.com/watch?v=O8TTsjIckWE,DRA Global Exposes The Trillion-Dollar Mining Crisis Nobody Is Talking About: Tech vs Heavy Labor!,highlight,172,13,1,7.6923,"Premiered Aug 18, 2026",False
6NzaqOiqgyQ,https://www.youtube.com/watch?v=6NzaqOiqgyQ,Why DRA Global is the Most Exciting Pure-Play Engineering Firm for Your Mining Career!,highlight,131,20,3,15.0,"Premiered Aug 18, 2026",False
YQp6LMwyYsU,https://www.youtube.com/watch?v=YQp6LMwyYsU,DRA Global Part 4: Navigating the Perfect Mining Storm With Expert Advisory & IPD Execution #386,episode,2384,1421,3,0.2111,"Premiered Aug 18, 2026",False
yyf6KE53MUA,https://www.youtube.com/watch?v=yyf6KE53MUA,Did You Know That Brazil Has MORE Flotation Columns Than Any Other Country? Eriez Explains Why,highlight,107,1610,1,0.0621,"Premiered Aug 13, 2026",False
UWwXSqw-5_0,https://www.youtube.com/watch?v=UWwXSqw-5_0,"Eriez Tells Us : Learn To Leverage Your Network, The Possibilities Are Endless!",highlight,187,1729,1,0.0578,"Premiered Aug 13, 2026",False
62qw25JqkzU,https://www.youtube.com/watch?v=62qw25JqkzU,Eriez Part 3: The Future of Mining Depends on Smarter Mineral Processing #385,episode,2704,6806,3,0.0441,"Premiered Aug 13, 2026",False
ihhdNYr3iSk,https://www.youtube.com/watch?v=ihhdNYr3iSk,Maptek Just Solved Underground Mining’s “Blind Corner” Problem,highlight,111,1800,1,0.0556,"Premiered Aug 12, 2026",False
Z-ACfQpOVRc,https://www.youtube.com/watch?v=Z-ACfQpOVRc,Maptek Part 3: VisionV2X Helps Prevent Underground Mining Collisions and Keeps People Safe #384,episode,864,6321,1,0.0158,"Premiered Aug 12, 2026",False
h01nVYB7HB4,https://www.youtube.com/watch?v=h01nVYB7HB4,Metso’s MX Technology Is Fighting Crusher Wear and Could END Frequent Liner Changes,highlight,126,1582,0,0.0,"Premiered Aug 12, 2026",False
lNqQxtTGWVU,https://www.youtube.com/watch?v=lNqQxtTGWVU,Metso Helps Reduce The Number Of Mining Trucks At Your Mine And Gain Better Efficiency And ROI!,highlight,159,1877,0,0.0,"Premiered Aug 12, 2026",False
fZD-Qbfp2O4,https://www.youtube.com/watch?v=fZD-Qbfp2O4,"Metso: Pit-to-plant Readiness | Extraction, Crushing, Screening & Lifecycle Value #383",episode,2688,8912,12,0.1346,"Premiered Aug 11, 2026",False
UzsSqX8LZgg,https://www.youtube.com/watch?v=UzsSqX8LZgg,Slurry Pipeline Was Rejected‼️ Watch the Ausenco Solution that Saved the Project,highlight,151,1747,1,0.0572,"Premiered Aug 6, 2026",False
